username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
upyesp,visually impaired,visual,132,13,2560581,1778,958905,1601676,1768,10,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shadyar,visually impaired,visual,220,99,7613,214089,6051,1562,211565,2524,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starkrush123,visually impaired,visual,197,84,9106,58074,6124,2982,44001,14073,0,1,0,1,0.0,1.0,0,1,0.0,0.0119047619047619,2025-07-21 08:10:56+00:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anastantz,visually impaired,visual,16771,18,19850,545,19330,520,408,137,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hkatic,visually impaired,visual,506,209,14621,12544,8919,5702,7491,5053,0,1,0,1,0.0,1.0,1,0,0.0019762845849802,0.0,2024-10-02 09:06:50+00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akhettat,blind,visual,38,12,4316957,3649,2316165,2000792,2482,1167,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brlat,blind,visual,532,338,92327,104261,65287,27040,69879,34382,0,0,0,1,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShotgunSpoon,blind,visual,1082,864,41498,13096,28364,13134,9144,3952,0,0,0,0,0.0,0.0,0,17,0.0,0.0196759259259259,2025-11-19 13:49:02+00:00,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angelobeck,blind,visual,14,38,8145,31300,8132,13,27481,3819,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ns-studios,blind,visual,650,176,349508,142204,59701,289807,133030,9174,1,1,1,1,1.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sharkboyto,blind,visual,14,8,1216,159,1092,124,81,78,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PhoenixTilea,blind,visual,2042,836,112102,139470,29290,82812,105901,33569,0,0,0,0,0.0,0.0,0,2,0.0,0.0023923444976076,2025-09-11 09:53:36+00:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
javidominguez,blind,visual,218,80,54358,4963,36650,17708,3046,1917,3,0,3,1,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serrebi,blind,visual,89,309,3975,92333,2542,1433,71450,20883,0,0,0,0,0.0,0.0,0,1,0.0,0.0032362459546925,2025-07-13 16:39:33+00:00,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ismaelmosquera,blind,visual,33,94,304169,484260,157173,146996,247924,236336,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sethwilsonUS,legally blind,visual,86,12,35520,35644,25757,9763,35480,164,39,5,40,5,0.975,1.0,1,2,0.0116279069767441,0.1666666666666666,2024-06-25 23:48:26+00:00,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeatersink,blind,visual,1299,123,243034,47378,143585,99449,27429,19949,9,0,14,0,0.6428571428571429,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexecution,blind,visual,48,149,4958,143018,3810,1148,132864,10154,0,2,0,2,0.0,1.0,0,3,0.0,0.0201342281879194,2025-02-02 00:18:20+00:00,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oliver2213,blind,visual,498,1580,67250,121255,34700,32550,79439,41816,0,5,0,5,0.0,1.0,0,12,0.0,0.0075949367088607,2025-04-13 22:38:06+00:00,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
FlorianEagox,blind,visual,104,22,137374,25422,62697,74677,17319,8103,3,0,3,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
